Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
8279040,MSM_CONDOMUSE_PERCENT,COUNTRY,PRY,AMR,YEAR,Americas,,2023,,,,,,DATASOURCE,DATASOURCE_GAM,83.5,83.5,,,Source: Prevalencia de VIH Sífilis Hepatitis B y C conocimientos prácticas de riesgo y actitudes de hombres que tienen sexo con hombres (HSH) en Asunción Central y Alto Paraná y Caaguazú. 2023,2025-03-20T10:33:15.227+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
1360697,MSM_CONDOMUSE_PERCENT,COUNTRY,SRB,EUR,YEAR,Europe,,2012,,,,,,DATASOURCE,DATASOURCE_GAM,58.4,58.4,,,,2025-03-20T10:33:15.227+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
8234646,MSM_CONDOMUSE_PERCENT,COUNTRY,BFA,AFR,YEAR,Africa,,2022,,,,,,DATASOURCE,DATASOURCE_GAM,69.5,69.5,,,Source: IBBS 2022,2025-03-20T10:33:15.227+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2017614,MSM_CONDOMUSE_PERCENT,COUNTRY,PAN,AMR,YEAR,Americas,,2018,,,,,,DATASOURCE,DATASOURCE_GAM,80.6,80.6,,,Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS),2025-03-20T10:33:15.227+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
1652483,MSM_CONDOMUSE_PERCENT,COUNTRY,ITA,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,57.1,57.1,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
6009446,MSM_CONDOMUSE_PERCENT,COUNTRY,DZA,AFR,YEAR,Africa,,2017,,,,,,DATASOURCE,DATASOURCE_GAM,53.4,53.4,,,Source: Etude sur les Connaissances Attitudes et Pratiques en matière de Santé Reproductive Planning Familiale et IST/VIH/Sida auprès des jeunes de 15 à 24 ans et des populations clés en Algérie 2017,2025-03-20T10:33:15.227+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
8418161,MSM_CONDOMUSE_PERCENT,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,65.5,65.5,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
634591,MSM_CONDOMUSE_PERCENT,COUNTRY,VEN,AMR,YEAR,Americas,,2019,,,,,,DATASOURCE,DATASOURCE_GAM,56,56.0,,,Source: Estudio de comportamientos sexuales y prevalencia de VIH en hombres que tienen sexo con otros hombres en ocho ciudades de la República Bolivariana de Venezuela,2025-03-20T10:33:15.227+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
3687193,MSM_CONDOMUSE_PERCENT,COUNTRY,TZA,AFR,YEAR,Africa,,2019,,,,,,DATASOURCE,DATASOURCE_GAM,25.6,25.6,,,Source: National programme data 2019,2025-03-20T10:33:15.227+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
539796,MSM_CONDOMUSE_PERCENT,COUNTRY,UGA,AFR,YEAR,Africa,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,39,39.0,,,Source: Crane survey,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
