,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
5919,NIC,2010.0,26.217532,9.4972149,7.3,34.371506,,,77.06996179,66.9421,55.4
5920,HRV,1990.0,11.772845,5.9589949,6.2,,,,,,0.0
5921,BRN,2004.0,16.679776,9.9336773,7.3,27.215034,,,76.2980122,77.58139,0.0
5922,BGD,2006.0,1.4753393,11.502224,6.4,21.076241,,,68.09324389,34.08753,90.0
5923,SLV,2006.0,21.716665,8.9000627,7.9,32.565819,6.9,,73.70492095,82.22536,30.5
5924,SOM,1991.0,3.2777146,5.0045535,3.0,,,,,,99.8
5925,WB_LMI,2004.0,5.9566911,10.271563,6.2,23.993631,,,64.12115275,,
5926,USA,2001.0,28.512329,8.9672118,7.3,29.646015,,,76.75000279,99.87244,0.0
5927,NLD,2005.0,12.811142,6.4886987,5.7,17.275612,0.0,,79.34144338,97.91633,0.0
5928,TON,2021.0,70.802593,22.351655,,30.644751,,,72.72088222,95.04204,13.0
5929,PSE,1999.0,26.55302,10.711592,,,,,,,
5930,VNM,1998.0,0.27328541,3.9408077,3.5,,,,,,91.5
5931,HRV,2009.0,20.919473,9.0899065,8.8,17.88242,1.0,,76.44559714,96.96611,0.0
5932,URY,2022.0,33.343792,17.006056,,33.844395,,,,98.32483,0.0
5933,GAB,2009.0,14.20207,9.3322515,7.5,23.30242,,,61.22876669,42.96715,21.0
5934,TKM,1991.0,8.7807961,9.1409817,4.4,,,,,,3.2
5935,ETH,2010.0,1.2997326,4.8142985,3.5,11.436881,33.5,,63.25475143,5.88367,97.8
5936,GNQ,2018.0,15.894319,10.803921,,19.979118,,,61.42093734,,76.3
5937,TUR,2015.0,30.763829,13.625894,,42.823524,0.3,,76.68525905,96.42791,5.0
5938,NGA,2007.0,7.2025634,5.7945509,3.8,20.479122,,,58.17779892,32.26769,98.9
5939,GRC,1997.0,17.388847,8.1750117,7.5,,,,,,0.0
5940,AFR,2006.0,7.605794,6.3657962,4.3,20.418482,,,56.4398241,27.77894,85.67
5941,ECU,2021.0,26.566669,11.646011,,22.61541,,,73.95801182,91.74269,5.4
5942,TJK,2013.0,17.762266,8.8970616,7.2,31.003916,,30.0,71.7590921,94.57241,25.1
5943,DMA,1995.0,14.327693,11.868759,6.8,,,,,,26.2
5944,YEM,2003.0,6.1956841,8.7160029,5.4,21.973761,,,64.67397283,46.51754,43.4
5945,KOR,2004.0,2.7923038,8.2069173,7.4,31.76063,,,77.92814417,100.0,0.0
5946,BFA,2004.0,2.100661,3.9091721,3.2,16.294016,,,54.3424593,13.13173,96.4
5947,KGZ,2003.0,14.338885,7.1291268,6.0,17.005495,28.1,,66.27050684,92.83443,41.5
5948,EGY,2016.0,40.381181,21.120639,,32.910789,,,70.7024138,96.24658,0.2
5949,HND,2016.0,25.391144,9.4414048,,34.153072,16.0,,71.09197895,79.40648,53.3
5950,SLV,2014.0,26.418677,10.93284,8.8,35.786682,3.0,,73.8558025,85.19896,16.1
5951,USA,1993.0,21.028614,8.0397792,6.2,,,,,,0.0
5952,TTO,2008.0,23.459008,20.499064,9.4,39.381348,,,72.03571655,92.06708,0.0
5953,TUR,2001.0,24.660148,8.2722083,8.3,39.135559,,,74.03517034,86.69598,9.6
5954,NPL,2004.0,1.7393565,8.3115689,7.0,10.613303,,,67.69735163,24.41227,88.6
5955,BRB,2000.0,22.060293,15.817423,9.6,34.726124,,,74.60503157,88.85349,0.0
5956,RUS,2002.0,19.285999,6.4093597,8.0,11.173899,0.7,,64.86108252,85.00045,0.0
5957,BWA,1994.0,7.4639261,5.2738883,3.7,,,,,,67.2
5958,BFA,2006.0,2.4832958,4.1026846,3.4,16.410688,,,55.97968949,14.81591,95.7
5959,KGZ,2011.0,19.410248,7.9333887,7.6,17.793455,1.8,,69.54394591,95.66838,27.6
5960,KNA,2005.0,33.250821,12.862113,10.9,34.302261,,,,89.72114,0.0
5961,LKA,2009.0,4.6771534,13.584262,6.6,25.128122,2.4,,72.41934945,84.06116,78.9
5962,DMA,1996.0,14.882739,12.41541,7.0,,,,,,25.2
5963,HND,1993.0,10.378422,4.4528417,3.8,,,,,,81.1
5964,GRD,2017.0,26.975501,19.23148,,33.6152,,,72.61647079,91.49389,10.7
5965,NRU,2012.0,67.379338,22.007905,28.6,39.00428,,,,65.80902,0.0
5966,LVA,2015.0,22.45945,9.8972864,,16.252256,0.7,,74.8108617,91.51934,0.0
5967,PRY,1997.0,15.609571,6.23728,4.4,,,,,,52.2
5968,COK,2003.0,56.36065,27.785459,21.7,52.676289,,,,82.41445,18.1
5969,CYP,2017.0,22.156937,8.2218513,,41.330166,,,81.86957092,99.41781,0.0
5970,LBR,2022.0,17.013773,7.9578958,,14.583702,,,,22.52338,99.2
